Device,Asset Tag/QTY,Model,Serial #,Provided By,STOCKED DATE,Install Date,NOTES,
Wired earphone earpiece,2,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Retc i15 new earpiece ,8,,,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Dejavoo (credit card processing),1,Tpn WPQ23200234 ,WP21361Q23200234,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Dejavoo (credit card processing),1,TpnWPQ23200233,WP21361Q23200233,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Dejavoo (credit card processing),1,TPN WPQ23200235,WP21361Q23200235,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
C-print 3 receipt printer,1,MCP3L,258112108600754,BIG RAPIDS,5/26/2022,1/20/23,STOCKED IN NEW BALTIMORE,
Honeywell Nug Mobile Scanner,1,,,BIG RAPIDS,5/26/2022,1/20/23,STOCKED IN NEW BALTIMORE,
Mini iPad with stand ,1,,,BIG RAPIDS,5/26/2022,1/20/23,STOCKED IN NEW BALTIMORE,
Scanner 1 / NO HOLDER,1,Symbol LS2208,Z09UZD,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Scanner 2 / NO HOLDER,1,Honewell 1900 GSR-2,17291814B1,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Scanner 3 / NO HOLDER,1,Symbol LS2208,Z09UZH,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
Scanner 4 / NO HOLDER,1,Symbol LS2208,Z4CG9G,BIG RAPIDS,5/25/22,1/20/23,STOCKED IN NEW BALTIMORE,
